gender numYears numRaters numCourses pepper easiness raterInterest quality disciplinePre-prof disciplineSocSci disciplineSTEM deptBiology deptBusiness deptChemistry deptCommunication deptCS deptEducation deptEnglish deptGeology deptHistory deptKins deptLanguages deptMath deptMusic deptPhilosophy deptPhysics deptPolySci deptPsychology deptReligion deptSocialScience deptSociology
1 male 7 11 5 no 4.81818181818182 3.54545454545455 1.83569109120507 No No No No No No No No No Yes No No No No No No No No No No No No No
2 male 6 11 5 no 4.363636364 4 1.28212987736263 No No No No No No No No No No No No No No No No No No No No Yes No No
3 male 10 43 2 no 4.6046511627907 3.43243243243243 2.10375576062428 No No No No No No No No No No No No No No No No No No No No No No No
4 male 11 24 5 no 2.791666667 3.181818182 1.16424517911576 No No No No No No No No No Yes No No No No No No No No No No No No No
5 male 11 19 7 no 4.473684211 4.214285714 1.91856172629095 No No No No No No No No No No No No No Yes No No No No No No No No No
6 male 10 15 9 no 4.53333333333333 3.91666666666667 1.13728161902726 No No No No No No No No No No No No No Yes No No No No No No No No No
7 male 7 17 3 no 4.117647059 3.8125 1.39606534999648 No No No No No No No No No No No No No Yes No No No No No No No No No
8 male 11 16 3 no 1.4375 2.9375 -2.62223116436859 No No No No No No No No No Yes No No No No No No No No No No No No No
9 male 11 12 4 no 1.75 3.75 -2.61117615469394 No No No No No No No No No No No No No No No Yes No No No No No No No
10 male 7 18 4 no 3.666666667 4.176470588 0.924747386409241 No No No No No No No No No Yes No No No No No No No No No No No No No
11 male 11 11 4 no 4 2.9 1.99116810917538 No No No No No No No No No No No No No No No No Yes No No No No No No
12 male 6 33 4 yes 4.242424 3.3333333 0.25807645199035 No No No No No No No No No No No No No No No No Yes No No No No No No
13 male 4 23 5 no 2.217391304 3.217391304 -1.33617147058916 No No No No No No No No No No No No No No No Yes No No No No No No No
14 male 10 34 2 yes 4.6764708 4.71875 2.18549180980569 No No No No No No No No No No No No No No No Yes No No No No No No No
15 male 11 23 8 yes 2.826086957 3.952380952 1.71246605856303 No No No No No No No No No No No No No Yes No No No No No No No No No
16 male 3 27 5 yes 3.7037037037037 3.59259259259259 2.3690845258091 No No No No No No No No No No No No No No No No No No No No Yes No No
17 male 1 14 2 yes 3.214285714 2.357142857 1.53493413375847 No No No No No No No No No Yes No No No No No No No No No No No No No
18 male 11 19 7 no 3.63157894736842 3.52631578947368 1.05056037956895 No No No No No No No No No No No Yes No No No No No No No No No No No
19 male 6 11 5 no 2.27272727272727 4 0.574080240328294 No No No No No No No No No No No No No No No No No No No No No No No
20 male 11 14 5 no 3.2857144 3.2307692 -0.130156247549462 No No No No No No No No No No No No No No No No No No No No No No No
21 male 7 59 9 no 2.3559322 3.5370371 -0.177257458505775 No No No No No No No No No No No No No No No No Yes No No No No No No
22 male 10 28 5 no 3.642857 3.25 0.207532797572081 No No No No No No No No No Yes No No No No No No No No No No No No No
23 male 1 13 3 no 4.61538461538461 2.92307692307692 0.00199873308703236 No No No No No No No No No Yes No No No No No No No No No No No No No
24 male 10 15 5 no 2.266666667 3.4 -3.36518375186531 No No No No No No No No No No No No No No No No Yes No No No No No No
25 male 7 16 2 no 2.5625 3.8 -0.0759828153512965 No No No No No No No No No No No Yes No No No No No No No No No No No
26 male 11 35 6 no 3.857142857 3 -0.799920813055917 No No No No No No No No No No No Yes No No No No No No No No No No No
27 male 7 11 2 no 4.181818182 4.909090909 2.3070651195249 No No No No No No No No No No No No No No No Yes No No No No No No No
28 male 11 23 10 no 2.826086957 3.333333333 1.1455570347016 No No No No No No No No No Yes No No No No No No No No No No No No No
29 male 11 27 6 no 3.148148148 4.153846154 0.700833490596824 No No No No No No No No No No No No No Yes No No No No No No No No No
30 male 11 42 5 yes 3.166666667 3.516129032 1.41277362001008 No No No No No No No No No Yes No No No No No No No No No No No No No
31 male 11 38 4 no 3.131578947 4.029411765 1.64566097325962 No No No No No No No No No No No Yes No No No No No No No No No No No
32 male 11 20 8 no 3.25 3.631578947 0.862595768074053 No No No No No No No No No No No No No Yes No No No No No No No No No
33 male 11 44 6 no 2.0454545 3.475 -1.29581197154126 No No No No No No No No No No No No No No No No Yes No No No No No No
34 male 11 57 3 yes 3.614035088 3.901960784 1.69057208822706 No No No No No No No No No No No No No No No No No No No No Yes No No
35 male 10 15 3 no 3.133333333 3.933333333 0.215000205962295 No No No No No No No No No No No No No No No Yes No No No No No No No
36 male 9 46 5 no 3.8695652173913 2.34782608695652 -2.92252384690986 No No No No No No No No No Yes No No No No No No No No No No No No No
37 male 11 10 4 no 3.88888888888889 3.88235294117647 1.21522585754109 No No No No No No No No No No No No No Yes No No No No No No No No No
38 male 3 18 2 no 3.111111111 3.5 1.45306226185722 No No No No No No No No No Yes No No No No No No No No No No No No No
39 male 11 79 7 no 2.658228 2.9565217 -1.74527721247676 No No No No No No No No No No No Yes No No No No No No No No No No No
